Suspected Isolates/Clones,Alternative Names
WC4,
XE7,
JC3,
JF11,
JH6,
XD8,
KH7,
JON,
KC2,
XB3,
K1AM,K1-AM; K1 AM
HB3-leuR1,
AUD,
LA10,
NF10,
NIC,
TF1,
KA6,
QF5,
XG10,
DAN,
DEV,
JC9,
JB8,
KC5,
K1HF ,K1Hf
KB8,
LC12,
Dd2-B2,DD2-B2
FcR3-A,FCR3-A
WE2,
C2GC03,C2
MRA1240,MRA 1240
WF12,
106/1^76T,106/1'76T
AL2,
34-1/E,
106/1^76I,106/1'76I
Smith,
JF6,
FcR-3/A,FCR-3/A;FCR3/A;FcR3/A
FcR-3/A2 ,FCR-3/A2; FCR3/A2
GA3,
106/1^76N,106/1'76N
CH12,
JB12,
AZ10011003,
K1H6/2,R1H6/2
F09N66,
F09N40,
F09N33,
TM3036,
F07-59,
F08B41,
AK144,
F09A55,
F07-56,
KC98,
F07-6,
F09N68,
F07-13,
F08B53,
F07-10,
F09N35,
F09N6,
F07-47,
F08B32,
F09N58,
AZ10011008,
F07-23,
F07-29,
SB,
KC98 358,KC98358
3A7,
F07-11,
F09A41,
F08B40,
F09N1,
PF18,
F08B63,
F09A61,
F09N22,
F07-7,
F09N18,
F09A54,
F09A9,
F07-3,
F07-27,
F07-28,
Cam3.II^C580Y,
3A26,
F09N72,
F07-8,
F07-35,
F07-40,
F09N44,
F09N64,
SM,
F09A10,
Feng,
MB,
3C18,
3A1,
Kil-164,
F08B27,
F07-42,
AK127,
AK033 D-49,
NHP1337,
W2AL80 ,
8968,
6816,
8973,
3A8,
3A3,
3C1,
AK158,
F07-58,
AK182,
XF12,
AK183,
AK022 D-28,
F07-31,
208432,
3A12,
AK062,
F08B72,
8885,
9067,
AK033 D-0,
AZ10011017,
AK121,
AK152 D-56,
9070,
8977,
F08B9,
AK222,
8948,
3C10,
F07-9,
3A17,
F08B2,
F08B61,
F09N29,
F09N78,
F07-34,
F08B7,
F07-25,
AK150 D-42,
F08B60,
F07-50,
AK227,
AK167,
AK018,
8966,
TM90C6B,
AK150 D-0,
3C20,
F09A21,
CDA-1553,
AZ10011022,
AK249,
AK022D-0,
3A3,
F07-46,
