Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Unnamed: 26,Unnamed: 27,Unnamed: 28,verify_strain,stand_strain,unique_chemicals,stand_strain_bin,pIC50
CHEMBL2312167,,,294.35,0.0,2.03,1b,Cc1ccc(C(=O)NOCCCCCC(=O)NO)cc1C,IC50,'=',250.0,nM,6.6,,,UO_0000065,0,CHEMBL3297427,organism-based format,,CHEMBL3286295,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against late stage gametocyte stage of Plasmodium falciparum NF54 after 72 hrs,,,,NF54,NF54,,NF54,6.6
CHEMBL495390,AZELAIC BIS HYDROXAMIC ACID,,218.25,0.0,0.73,ABHA,O=C(CCCCCCCC(=O)NO)NO,IC50,'=',3900.0,nM,5.41,,,UO_0000065,0,CHEMBL969265,organism-based format,,CHEMBL1157182,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 after 48 hrs by LDH reporter assay,,,,W2,W2,,W2,5.41
CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',256.0,nM,6.59,,,UO_0000065,0,CHEMBL969265,organism-based format,,CHEMBL1157182,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 after 48 hrs by LDH reporter assay,,,,W2,W2,,W2,6.59
CHEMBL269671,,,282.34,0.0,2.39,Artemisinin,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,IC50,'=',1.0,nM,9.0,,,UO_0000065,0,CHEMBL969265,organism-based format,,CHEMBL1157182,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 after 48 hrs by LDH reporter assay,,,,W2,W2,,W2,9.0
CHEMBL580353,,,360.89,0.0,3.32,665782,C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2.Cl,IC50,'=',418.0,nM,6.38,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.38
CHEMBL600444,,,395.73,0.0,4.13,665809,Oc1ccc(Br)cc1CN1CCN(Cc2ccc(Cl)cc2)CC1,IC50,'=',1523.0,nM,5.82,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.82
CHEMBL261095,,,440.46,1.0,5.39,665888,O=C(Nc1ccccc1O)c1ccc(Oc2cccc(C(=O)Nc3ccccc3O)c2)cc1,IC50,'=',201.7,nM,6.7,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.7
CHEMBL591147,,,348.19,1.0,5.21,665948,O=C(Nc1ccccc1O)c1ccc(-c2ccc(Cl)cc2Cl)o1,IC50,'=',2992.0,nM,5.52,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.52
CHEMBL591393,,,333.58,1.0,5.43,665953,O=C(Nc1ccc(F)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1,IC50,'=',1828.0,nM,5.74,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.74
CHEMBL599100,,,453.33,1.0,5.78,SID24416260,COc1ccc(C(=O)NC(c2ccccc2Cl)c2cc(Cl)c3cccnc3c2O)cc1,IC50,'=',977.9,nM,6.01,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.01
