strain_clean,raw_variants,category
106/1,106/1,Standalone
106/1'76I,106/1'76I,Standalone
106/1'76N,106/1'76N,Standalone
106/1'76T,106/1'76T,Standalone
208432,208432,Standalone
2087,2087,Standalone
34-1/E,34-1/E,Standalone
3BA6,3BA6,Standalone
3D7,3D7,Standalone
3D7A,3D7A,Standalone
6218,6218,Standalone
6320,6320,Standalone
6816,6816,Standalone
7G8,7G8,Standalone
8425,8425,Standalone
8885,8885,Standalone
8948,8948,Standalone
8966,8966,Standalone
8968,8968,Standalone
8973,8973,Standalone
8977,8977,Standalone
9067,9067,Standalone
9070,9070,Standalone
AK018,AK018,Standalone
AK022 D-28,AK022 D-28,Standalone
AK022D-0,AK022D-0,Standalone
AK033 D-0,AK033 D-0,Standalone
AK033 D-49,AK033 D-49,Standalone
AK062,AK062,Standalone
AK121,AK121,Standalone
AK127,AK127,Standalone
AK144,AK144,Standalone
AK150 D-0,AK150 D-0,Standalone
AK150 D-42,AK150 D-42,Standalone
AK152 D-56,AK152 D-56,Standalone
AK158,AK158,Standalone
AK167,AK167,Standalone
AK182,AK182,Standalone
AK183,AK183,Standalone
AK222,AK222,Standalone
AK227,AK227,Standalone
AK249,AK249,Standalone
AL2,AL2,Standalone
AUD,AUD,Standalone
BHz26/86,BHz 26/86; BHz26/86,Synonym merge
Bre1,Bre1,Standalone
Bres,Bres,Keep separate - resistance/engineered
Bres1,Bres1,Keep separate - resistance/engineered
C2,C2,Standalone
C2A,C2A,Standalone
C2B,C2B,Standalone
CDA-1553,CDA-1553,Standalone
CDC1,CDC1,Standalone
CP286,CP286,Standalone
CS2,CS2,Standalone
Cam 3.1 R539,Cam 3.1 R539,Keep separate - resistance/engineered
Cam3.1,Cam3.1,Standalone
Cam3.II,Cam3.II,Standalone
Cam3.II^C580Y,Cam3.II^C580Y,Standalone
Cam3.II^rev,Cam3.II^rev,Standalone
CsI-2,CsI-2,Standalone
CsL-2,CsL-2,Standalone
D10,D10,Standalone
D2,D2,Standalone
D3,D-3; D3,Synonym merge
D6,D6,Standalone
DAN,DAN,Standalone
DEV,DEV,Standalone
Dd2,Dd2,Standalone
Dd2-B2,Dd2-B2,Standalone
Dd2048,Dd2048,Standalone
E8B,E8B,Standalone
F07-10,F07-10,Standalone
F07-11,F07-11,Standalone
F07-13,F07-13,Standalone
F07-23,F07-23,Standalone
F07-25,F07-25,Standalone
F07-27,F07-27,Standalone
F07-28,F07-28,Standalone
F07-29,F07-29,Standalone
F07-3,F07-3,Standalone
F07-31,F07-31,Standalone
F07-34,F07-34,Standalone
F07-35,F07-35,Standalone
F07-40,F07-40,Standalone
F07-42,F07-42,Standalone
F07-46,F07-46,Standalone
F07-47,F07-47,Standalone
F07-50,F07-50,Standalone
F07-56,F07-56,Standalone
F07-58,F07-58,Standalone
F07-59,F07-59,Standalone
F07-6,F07-6,Standalone
F07-7,F07-7,Standalone
F07-8,F07-8,Standalone
F07-9,F07-9,Standalone
F08B2,F08B2,Standalone
F08B27,F08B27,Standalone
F08B32,F08B32,Standalone
F08B40,F08B40,Standalone
F08B41,F08B41,Standalone
F08B53,F08B53,Standalone
F08B60,F08B60,Standalone
F08B61,F08B61,Standalone
F08B63,F08B63,Standalone
F08B7,F08B7,Standalone
F08B72,F08B72,Standalone
F08B9,F08B9,Standalone
F09A10,F09A10,Standalone
F09A21,F09A21,Standalone
F09A41,F09A41,Standalone
F09A54,F09A54,Standalone
F09A55,F09A55,Standalone
F09A61,F09A61,Standalone
F09A9,F09A9,Standalone
F09N1,F09N1,Standalone
F09N18,F09N18,Standalone
F09N22,F09N22,Standalone
F09N29,F09N29,Standalone
F09N33,F09N33,Standalone
F09N35,F09N35,Standalone
F09N40,F09N40,Standalone
F09N44,F09N44,Standalone
F09N58,F09N58,Standalone
F09N6,F09N6,Standalone
F09N64,F09N64,Standalone
F09N66,F09N66,Standalone
F09N68,F09N68,Standalone
F09N72,F09N72,Standalone
F09N78,F09N78,Standalone
F32,F32,Standalone
F32-TEM,F32-TEM,Standalone
F32A,F32A,Standalone
FAC8,FAC8,Standalone
FC27,FC27,Standalone
FC32,FC32,Standalone
FCA10/GHA,FCA10/GHA,Standalone
FCA20,FCA20,Standalone
FCB,FCB,Standalone
FCC1,FCC1,Standalone
FCC1/HN,FCC1/HN,Standalone
FCCI-HN,FCCI-HN,Standalone
FCK2,FCK2,Standalone
FCR 3TC,FCR 3TC,Standalone
FCR3-A,FCR3-A,Standalone
FCR3/A2,FCR3/A2,Standalone
FCR3F86,FCR3F86,Standalone
FJB D9,FJB D9,Standalone
FSH 14,FSH 14,Standalone
Fab9,Fab9,Standalone
FcB1,FcB1,Standalone
FcB1-R ,FcB1-R ,Standalone
FcB2,FCB-2; FCB2; FcB2,Synonym merge
FcBR,FCBR; FcBR,Synonym merge
FcM29,FcM29,Standalone
FcR3,FcR3,Standalone
Feng,Feng,Standalone
GB4,GB4,Standalone
GC03,GC03,Standalone
GCO3,GCO3,Standalone
GHA,GHA,Standalone
GP1,GP1,Standalone
HB,HB,Standalone
HB3,HB3,Standalone
HB3-leuR1,HB3-leuR1,Keep separate - resistance/engineered
Haiti 135,Haiti 135,Standalone
IMT 10336,IMT 10336,Standalone
IMT 10354,IMT 10354,Standalone
IMT 16116,IMT 16116,Standalone
IMT 16332,IMT 16332,Standalone
IMT 31,IMT 31,Standalone
IMT 6311,IMT 6311,Standalone
IMT 8425,IMT 8425,Standalone
IMT 9881,IMT 9881,Standalone
IMT 9996,IMT 9996,Standalone
IMT A4,IMT A4,Standalone
IMT Bres,IMT Bres,Keep separate - resistance/engineered
IMT Guy,IMT Guy,Standalone
IMT K14,IMT K14,Standalone
IMT K2,IMT K2,Standalone
IMT K4,IMT K4,Standalone
IMT Vol,IMT Vol,Standalone
IMT031,IMT031,Standalone
IMT10500,IMT 10500; IMT10500,Synonym merge
IMTL1,IMT L1; IMTL1,Synonym merge
IMTVo1,IMTVo1,Standalone
INDO,INDO,Standalone
IPC4912,IPC4912,Standalone
Indochina I,Indochina I,Standalone
ItG,ItG,Standalone
Itg2,Itg2,Standalone
J164,J164,Standalone
JB12,JB12,Standalone
JB8,JB8,Standalone
JC3,JC3,Standalone
JC9,JC9,Standalone
JF11,JF11,Standalone
JF6,JF6,Standalone
JH6,JH6,Standalone
JON,JON,Standalone
K1,K1,Standalone
K14,K14,Standalone
K1AM,K1AM,Standalone
K1CB1,K1CB1,Standalone
K1Hf,K1Hf,Standalone
K1mef,K1mef,Keep separate - resistance/engineered
K2,K2,Standalone
K39,K39,Standalone
KA6,KA6,Standalone
KB8,KB8,Standalone
KC2,KC2,Standalone
KC5,KC5,Standalone
KC98,KC98,Standalone
KC98358,KC98358,Standalone
KH7,KH7,Standalone
Kil-164,Kil-164,Standalone
L1,L1,Standalone
LA10,LA10,Standalone
LC12,LC12,Standalone
MB,MB,Standalone
MP14,MP14,Standalone
