Scaffold,count
c1ccc2ncccc2c1,2388
c1ccccc1,820
C1CC2CCOC3OC4CCC(C1)C23OO4,568
O=C1CC2CCCC3CCC4OOC32C(O1)O4,451
O=c1c2ccccc2[nH]c2ccccc12,331
c1ccc(Nc2ccnc3ccccc23)cc1,325
c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,313
O=C(C=Cc1ccccc1)c1ccccc1,280
c1ccc2c(CC3CCCCN3)ccnc2c1,208
C1CCC2(CC1)OOC1(CCC3C(CCC4C5CCCC5CCC34)C1)OO2,196
c1ccc(-c2cncnc2)cc1,137
O=C1C=C(C2CCC(c3ccccc3)CC2)C(=O)c2ccccc21,128
c1ccc(C2OOC(c3ccccc3)OO2)cc1,122
c1ccc2[nH+]c3c(cc2c1)[nH]c1ccccc13,116
c1ccc(-c2cscn2)cc1,106
O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,105
B1OCc2ccc(Oc3cnccn3)cc21,105
C1CCOOC1,97
O=C1c2ccccc2C(=O)c2[nH+]c[nH]c21,96
O=c1c2ccccc2[nH]c2cc(Oc3ccccc3)ccc12,96
c1ccc(-c2ccn3c(c2)nc2ccccc23)cc1,95
c1ccc2[nH]c3nc4ccccc4c-3cc2c1,93
c1ccc2nc3ccccc3cc2c1,93
C1CCC2(CC1)OOC1(CCCCC1)OO2,92
O=c1cc(-c2ccccc2)oc2ccccc12,90
O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCCCNCCCCO1,88
c1ccc2c(N3CCN(CCCN4CCN(c5ccnc6ccccc56)CC4)CC3)ccnc2c1,87
c1ccc(OCCCCCOc2ccccc2)cc1,86
O=C1C(c2ccccc2)=[NH+]c2ccccc21,84
c1ccc2c3c[nH]c4ccccc4c-3nc2c1,81
O=C1C=CC(=O)c2ccccc21,81
C(=NNc1ccnc2ccccc12)c1ccccc1,80
C1=NC=NCN1c1ccccc1,79
c1ccc(-c2ccccc2)cc1,78
c1ccc(-c2ccc3ncc(-c4ccccc4)n3n2)cc1,77
c1nncc(-c2cnncn2)n1,77
c1ccc(COc2ccccc2)cc1,71
O=C(C=Cc1cnc2ccccc2c1)c1ccccc1,71
c1ccc2ccccc2c1,70
c1ccc(C2CNCCc3ccccc32)cc1,68
c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,68
c1ncc2ncn(C3CCCO3)c2n1,67
C1=NC=NCN1OCCCOc1ccccc1,65
O=C(NC1CC1)c1ccc(-n2cnc3ccccc32)s1,65
O=C(NC1OC2C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O)C1CNC2Cc3c[nH]c4cccc(c34)C2C1,64
c1ccc(-c2cncc(-c3cccnc3)c2)cc1,63
O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCCCN(CCCNC(=S)Nc2ccccc2)CCCCO1,63
c1ccc(CNCCCNc2ccnc3ccccc23)cc1,62
c1ccc(C(Nc2ccnc3ccccc23)c2ccc(CN3CCCC3)cc2)cc1,62
O=c1cc[nH]c2ccccc12,61
O=C1Nc2ccccc2C12NCCc1c2[nH]c2ccccc12,60
O=c1cc(-c2ccc(Cc3ccccc3)cc2)[nH]c2ccccc12,59
c1ccc(-c2ccc(-c3ccccc3)o2)cc1,59
C1=CC(c2ccc[nH]2)=NC1=Cc1ccc[nH]1,58
c1ccc2c(NCCCN3CCNCC3)ccnc2c1,57
c1ccc(C2NCCc3c2[nH]c2ccccc32)cc1,57
c1ccc(-c2c[nH+]c3ccccc3[nH+]2)cc1,56
O=C(NCCCN1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCCC1)Nc1ccccc1,54
c1ccc(Nc2ncnc3ccccc23)cc1,54
O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,53
c1ccc(Cn2c(Nc3ccccc3)nc3ccccc32)cc1,53
c1ccc(Nc2c(-c3ccccc3)nc3n2CCNC3)cc1,52
c1ccc(Cc2cncnc2)cc1,51
c1ccc2c(NCCNCCCCC3CCC4C3CCC3C5CCCCC5CCC43)ccnc2c1,51
c1ccc(-c2cn(-c3ccccc3)nn2)cc1,51
c1ccc(-c2nc3cnc(Nc4ccccn4)cc3[nH]2)cc1,51
O=C(c1cccnc1)N1N=C(c2ccccc2)CC1c1ccccc1,50
C(=C1c2ccccc2-c2ccccc21)c1ccccc1,50
c1ccc(-c2cc3ncncc3s2)cc1,50
c1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccccc3)CC2)cc1,50
O=C(Cn1cnc2ccccc2c1=O)C1CCCN1,49
c1ccc(-c2cnc3ncncc3n2)cc1,48
O=C1C(=NNc2ccccc2)c2ccccc2N1Cc1cn(OC2CCCCO2)nn1,48
c1ccc2c(c1)[nH]c1cnccc12,48
O=c1c2ccccc2[nH]c2cc(OCc3ccccc3)ccc12,48
