Chemical,Count
CHEMBL4105508,1
CHEMBL178039,1
CHEMBL76,1569
CHEMBL169913,2
CHEMBL3038039,1
CHEMBL169156,2
CHEMBL76216,2
CHEMBL153656,2
CHEMBL3349861,2
CHEMBL347996,2
CHEMBL5002194,3
CHEMBL4891733,4
CHEMBL4983337,4
CHEMBL4931526,2
CHEMBL4943669,2
CHEMBL4900981,4
CHEMBL5002163,4
CHEMBL4946013,4
CHEMBL4958652,4
CHEMBL4970740,4
CHEMBL4928718,3
CHEMBL4944085,3
CHEMBL4974547,4
CHEMBL4948209,2
CHEMBL5011196,2
CHEMBL4908662,2
CHEMBL4899689,4
CHEMBL4993148,3
CHEMBL5027631,3
CHEMBL4982236,5
CHEMBL4892558,4
CHEMBL4976187,4
CHEMBL4893033,1
CHEMBL4923809,2
CHEMBL4966999,4
CHEMBL4941229,4
CHEMBL4996894,4
CHEMBL4918172,2
CHEMBL4892774,3
CHEMBL318205,1
CHEMBL415499,1
CHEMBL4930084,3
CHEMBL4927288,4
CHEMBL4991465,4
CHEMBL5007278,3
CHEMBL1532367,2
CHEMBL4951537,4
CHEMBL4954470,4
CHEMBL73693,4
CHEMBL4970694,5
CHEMBL260389,4
CHEMBL34804,5
CHEMBL3084843,4
CHEMBL260359,3
CHEMBL94855,1
CHEMBL96938,4
CHEMBL343277,1
CHEMBL139035,1
CHEMBL137938,1
CHEMBL1802548,1
CHEMBL1802554,1
CHEMBL1802543,1
CHEMBL1813090,2
CHEMBL1813094,2
CHEMBL1812897,2
CHEMBL1813085,2
CHEMBL1813089,2
CHEMBL1800556,1
CHEMBL1800562,1
CHEMBL1800623,2
CHEMBL1800559,10
CHEMBL1800625,1
CHEMBL3217195,1
CHEMBL262298,1
CHEMBL3216192,2
CHEMBL366631,1
CHEMBL343320,4
CHEMBL253716,8
CHEMBL170,279
CHEMBL437196,1
CHEMBL404523,5
CHEMBL1682448,3
CHEMBL1682575,3
CHEMBL2029587,2
CHEMBL2029593,1
CHEMBL2029594,1
CHEMBL2029744,1
CHEMBL2029759,1
CHEMBL2029762,1
CHEMBL307261,230
CHEMBL171967,1
CHEMBL353332,1
CHEMBL1234899,2
CHEMBL3238538,1
CHEMBL3138243,2
CHEMBL3238540,1
CHEMBL3084852,4
CHEMBL98,30
CHEMBL2017470,1
CHEMBL2017480,1
CHEMBL2012953,2
CHEMBL2012959,2
CHEMBL2012960,2
CHEMBL2146519,3
CHEMBL2012820,2
CHEMBL2012824,2
CHEMBL2012826,1
CHEMBL2012950,2
CHEMBL1487,50
CHEMBL4877259,1
CHEMBL4852597,2
CHEMBL4871841,2
CHEMBL4846549,2
CHEMBL4862272,2
CHEMBL3121245,2
CHEMBL3289806,6
CHEMBL3289818,2
CHEMBL3289810,11
CHEMBL3289795,2
CHEMBL408194,2
CHEMBL3098955,2
CHEMBL3121246,2
CHEMBL3289796,2
CHEMBL3289800,2
CHEMBL278291,10
CHEMBL335299,2
CHEMBL1790776,2
CHEMBL88635,1
CHEMBL3260211,2
CHEMBL3260214,2
CHEMBL77971,7
CHEMBL1257106,7
CHEMBL500996,7
CHEMBL347036,8
CHEMBL1256878,7
CHEMBL1079460,7
CHEMBL40998,7
CHEMBL361497,178
CHEMBL3234070,2
CHEMBL3264171,4
CHEMBL3286859,2
CHEMBL3286864,4
CHEMBL506,34
CHEMBL475290,1
CHEMBL567979,6
CHEMBL153249,2
CHEMBL152059,2
CHEMBL2041995,2
CHEMBL1644939,2
CHEMBL1644942,2
CHEMBL1644937,2
CHEMBL3235663,2
CHEMBL2030035,2
CHEMBL2030023,2
CHEMBL2030292,1
CHEMBL1641668,2
CHEMBL2017960,1
CHEMBL2024439,2
CHEMBL566534,38
CHEMBL26138,6
CHEMBL547,7
CHEMBL44657,7
CHEMBL605003,7
CHEMBL375182,3
CHEMBL306764,6
CHEMBL250711,7
CHEMBL188164,1
CHEMBL2023604,2
CHEMBL2023605,2
CHEMBL2023442,2
CHEMBL2023610,2
CHEMBL1807629,1
CHEMBL1807630,1
CHEMBL1807625,1
CHEMBL405884,1
CHEMBL261818,8
CHEMBL4796396,2
CHEMBL4778813,2
CHEMBL4795860,1
CHEMBL1790774,2
CHEMBL260474,6
CHEMBL4776715,2
CHEMBL4783210,2
CHEMBL261064,4
CHEMBL45627,3
CHEMBL4797103,5
CHEMBL4784738,6
CHEMBL4795829,6
CHEMBL1231612,6
CHEMBL587606,6
CHEMBL261290,3
CHEMBL406866,3
CHEMBL261770,3
CHEMBL528489,5
CHEMBL4789386,6
CHEMBL4799272,5
CHEMBL138649,2
CHEMBL1256709,7
CHEMBL513116,5
CHEMBL19476,7
CHEMBL275516,7
CHEMBL1200781,4
CHEMBL17331,7
CHEMBL23327,2
CHEMBL1256625,7
CHEMBL1256654,14
CHEMBL19215,8
CHEMBL1256658,7
CHEMBL1200503,7
CHEMBL34259,18
CHEMBL1255747,6
CHEMBL33884,5
CHEMBL1256794,4
CHEMBL1256026,5
CHEMBL305881,6
CHEMBL1479,6
CHEMBL268868,6
CHEMBL58,14
CHEMBL1257065,7
CHEMBL3216928,7
CHEMBL196163,1
CHEMBL2368493,1
CHEMBL1821999,1
CHEMBL2368491,1
CHEMBL2368490,1
CHEMBL65,14
CHEMBL1201063,14
CHEMBL1201153,7
CHEMBL4778930,1
CHEMBL2036058,1
CHEMBL2036060,1
CHEMBL324010,1
CHEMBL183028,3
CHEMBL2087243,1
CHEMBL2087244,1
CHEMBL2087247,1
CHEMBL2087258,1
CHEMBL2087268,1
CHEMBL2087273,1
CHEMBL2087274,1
CHEMBL549220,3
CHEMBL21921,1
CHEMBL56640,1
CHEMBL188101,1
CHEMBL304970,2
CHEMBL2057785,2
CHEMBL2058095,2
CHEMBL535854,1
CHEMBL367881,2
CHEMBL1235,70
CHEMBL337981,4
CHEMBL230313,4
CHEMBL4796847,1
CHEMBL1650038,3
CHEMBL3217155,3
CHEMBL170764,3
CHEMBL1688680,1
CHEMBL1643375,1
CHEMBL1643380,1
CHEMBL1643381,1
CHEMBL1187386,2
CHEMBL1187197,2
CHEMBL1187229,2
CHEMBL1187822,2
CHEMBL116438,6
CHEMBL2041950,1
CHEMBL2041770,1
CHEMBL2041768,1
CHEMBL2041767,1
CHEMBL194225,1
CHEMBL258555,1
CHEMBL38827,48
CHEMBL434116,2
CHEMBL422953,1
CHEMBL165107,1
CHEMBL328265,1
CHEMBL63724,2
CHEMBL3349381,1
CHEMBL118855,2
CHEMBL3349378,1
CHEMBL171020,2
CHEMBL147840,2
CHEMBL7568,7
CHEMBL3115468,2
CHEMBL3115463,1
CHEMBL3115721,2
CHEMBL469912,31
CHEMBL138786,2
CHEMBL238651,1
CHEMBL239759,1
CHEMBL399201,1
CHEMBL238919,1
CHEMBL239968,1
CHEMBL394190,1
CHEMBL1294,8
CHEMBL239752,1
CHEMBL3109529,1
CHEMBL1821997,1
CHEMBL1821998,1
CHEMBL414563,2
CHEMBL242084,2
CHEMBL395495,2
CHEMBL244454,2
CHEMBL153755,2
CHEMBL464856,1
CHEMBL63354,2
CHEMBL3358656,2
CHEMBL270317,7
CHEMBL409930,4
CHEMBL410474,4
CHEMBL410654,4
CHEMBL407949,2
CHEMBL410675,4
CHEMBL271378,4
CHEMBL3393853,2
CHEMBL3393864,2
CHEMBL3393855,2
CHEMBL3393865,2
CHEMBL3393868,2
CHEMBL3338927,2
CHEMBL344105,3
CHEMBL4951856,4
CHEMBL4900202,3
CHEMBL63490,3
CHEMBL15688,4
CHEMBL428347,1
CHEMBL152570,2
CHEMBL348399,4
CHEMBL3338926,2
CHEMBL3338922,2
CHEMBL233476,2
CHEMBL2368247,4
CHEMBL472940,2
CHEMBL119049,3
CHEMBL111325,1
CHEMBL3408760,4
CHEMBL3401711,3
CHEMBL3401708,3
CHEMBL462861,2
CHEMBL3401070,2
CHEMBL491383,4
CHEMBL59966,3
CHEMBL60012,4
CHEMBL314927,2
CHEMBL416956,130
CHEMBL430785,3
CHEMBL426091,2
CHEMBL3329569,2
CHEMBL3329570,2
CHEMBL3329580,2
CHEMBL3329585,2
CHEMBL3329587,2
CHEMBL1086066,2
CHEMBL3329575,2
CHEMBL3329581,2
CHEMBL3329598,2
CHEMBL456230,1
CHEMBL470994,1
CHEMBL3329576,2
CHEMBL608989,1
CHEMBL2063021,1
CHEMBL3335100,2
CHEMBL3335095,2
CHEMBL3338921,2
CHEMBL3338920,2
CHEMBL3410326,3
CHEMBL3410335,3
CHEMBL3410468,3
CHEMBL3410329,2
CHEMBL3410330,2
CHEMBL427732,4
CHEMBL404775,4
CHEMBL3410334,3
CHEMBL3410470,3
CHEMBL3404037,1
CHEMBL152884,2
CHEMBL152875,2
CHEMBL260275,3
CHEMBL3410331,3
CHEMBL3410467,3
CHEMBL3404036,1
CHEMBL6246,13
CHEMBL278813,1
CHEMBL194977,1
CHEMBL1172121,2
CHEMBL1169785,2
CHEMBL747,26
CHEMBL593974,2
CHEMBL593924,2
CHEMBL611329,2
CHEMBL593164,2
CHEMBL3261932,1
CHEMBL593653,2
CHEMBL529,45
CHEMBL8,36
CHEMBL3264174,5
CHEMBL3264185,3
CHEMBL3264508,3
CHEMBL450398,6
CHEMBL3264173,3
CHEMBL3264178,5
CHEMBL3264184,3
CHEMBL3264187,3
CHEMBL434743,2
CHEMBL418821,1
CHEMBL423184,2
CHEMBL167308,2
CHEMBL1630,75
CHEMBL118838,2
CHEMBL3238541,1
CHEMBL1236460,8
CHEMBL406117,2
CHEMBL3261981,2
CHEMBL3706806,1
CHEMBL3264180,3
CHEMBL487721,6
CHEMBL393220,6
CHEMBL537662,1
CHEMBL489505,2
CHEMBL269671,447
CHEMBL123292,6
CHEMBL1083766,2
CHEMBL1085114,2
CHEMBL273120,6
CHEMBL270539,4
CHEMBL588046,6
CHEMBL269513,6
CHEMBL97395,5
CHEMBL6966,7
CHEMBL611636,4
CHEMBL3216196,4
CHEMBL472910,1
CHEMBL490074,2
CHEMBL490289,2
CHEMBL48449,9
CHEMBL482930,1
CHEMBL15192,8
CHEMBL279115,7
CHEMBL1076007,1
CHEMBL2441194,1
CHEMBL2098389,1
CHEMBL560257,2
CHEMBL454553,4
CHEMBL561921,2
CHEMBL550371,2
CHEMBL144037,10
CHEMBL258269,2
CHEMBL272259,1
CHEMBL3216997,1
CHEMBL428395,1
CHEMBL139702,4
CHEMBL209257,2
CHEMBL597017,1
CHEMBL591532,5
CHEMBL607860,4
CHEMBL279386,4
CHEMBL1208858,7
CHEMBL1200517,57
CHEMBL267777,6
CHEMBL1190161,7
CHEMBL304818,7
CHEMBL104,21
CHEMBL103,6
CHEMBL252248,1
CHEMBL278847,10
CHEMBL253715,8
CHEMBL329647,1
CHEMBL594581,2
CHEMBL594314,2
CHEMBL468427,3
CHEMBL55,25
CHEMBL239289,1
CHEMBL395618,1
CHEMBL238714,1
CHEMBL3099820,3
CHEMBL3088362,1
CHEMBL51483,5
CHEMBL3099821,3
CHEMBL258590,4
CHEMBL490322,2
CHEMBL1214432,2
CHEMBL2442613,1
CHEMBL2442603,1
CHEMBL2442602,1
CHEMBL3099819,3
CHEMBL3099599,1
CHEMBL394563,1
CHEMBL3103527,2
CHEMBL3103567,2
CHEMBL396533,1
CHEMBL3099043,1
CHEMBL2435432,1
CHEMBL2435441,1
CHEMBL2011974,1
CHEMBL3109523,1
CHEMBL3109544,1
CHEMBL3109543,1
CHEMBL3109542,2
CHEMBL3109539,1
CHEMBL503241,2
CHEMBL3103530,1
CHEMBL460849,1
CHEMBL472881,1
CHEMBL473683,1
CHEMBL473883,1
CHEMBL472866,1
CHEMBL392729,5
CHEMBL93286,2
CHEMBL565089,1
CHEMBL585162,2
CHEMBL245042,5
CHEMBL2113937,3
CHEMBL573506,2
CHEMBL577389,2
CHEMBL2087263,1
CHEMBL2087264,1
CHEMBL237170,3
