Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Standardized_Strain,Unique_Chemicals,Unique_Strains,Final Count,Unnamed: 30,Unnamed: 31,Scaffold
CHEMBL76216,,,207.27,0.0,-0.02,8,CC(C)(C)OOCN(CCO)CCO,IC50,'=',22000.0,nM,4.657577319,,,,0,CHEMBL762022,organism-based format,,CHEMBL1133927,1,Scientific Literature,Bioorg Med Chem Lett,,In vitro schizont maturation inhibition for chloroquine-sensitive Plasmodium falciparum FJB D9,FJB D9,,,,Predicted,Actual,
CHEMBL165107,,,274.44,1.0,5.24,2n,CCCCCCCCCCCCOOC(C)(C)OC,IC50,'=',670.0,nM,6.173925197,,,UO_0000065,0,CHEMBL763541,organism-based format,,CHEMBL1136364,1,Scientific Literature,Bioorg Med Chem Lett,,In vitro +Z363antimalarial activity against Plasmodium falciparum FCR3,FcR3,,,,,,
CHEMBL348399,TERT-BUTYL HYDROPEROXIDE,,90.12,0.0,1.27,3,CC(C)(C)OO,IC50,'=',203000.0,nM,3.692503962,Outside typical range,,UO_0000065,0,CHEMBL767007,organism-based format,,CHEMBL1124338,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against Plasmodium falciparum D6,D6,,,,,,
CHEMBL1086066,,,249.18,0.0,0.09,rac-5b,CC(=O)N(O)CCC(F)P(=O)(O)O.N.N,IC50,'=',700.0,nM,6.15490196,,,UO_0000065,0,CHEMBL1118494,organism-based format,,CHEMBL1155443,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against Plasmodium falciparum Ghana by micro dilution assay,GHA,,,,,,
CHEMBL406117,GUSPERIMUS,3.0,387.53,1.0,-1.31,"DSG, 15-Deoxyspergualin",N=C(N)NCCCCCCC(=O)NC(O)C(=O)NCCCCNCCCN,IC50,'=',443000.0,nM,3.353596274,Outside typical range,,UO_0000065,0,CHEMBL996023,organism-based format,,CHEMBL1156431,1,Scientific Literature,J Biol Chem,,Inhibition of protein synthesis in Plasmodium falciparum FCK2 by [35S]methionine uptake,FCK2,,,,,,
CHEMBL537662,,,468.47,0.0,3.06,A22,CN(C)C(=N)NCCCCCCCCCCCCNC(=N)N(C)C.I,IC50,'=',1.6,nM,8.795880017,,,UO_0000065,0,CHEMBL902564,organism-based format,,CHEMBL1138331,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum Nigerian in human erythrocytes after 48 hrs,Nigerian,,,,,,
CHEMBL396533,,,192.3,0.0,3.33,2a,C#CCO[C@@](C)(C=C)CCC=C(C)C,IC50,'=',39000.0,nM,4.408935393,,,UO_0000065,0,CHEMBL900468,organism-based format,,CHEMBL1137552,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity after 48 hrs against chloroquine-resistant Plasmodium falciparum FcM29-Cameroon by [3H]hypoxanthine uptake,FcM29,,,,,,
CHEMBL245042,,,282.48,0.0,4.06,M64,CC(=N)NCCCCCCCCCCCCNC(C)=N,IC50,'=',4.0,nM,8.397940009,,,UO_0000065,0,CHEMBL905875,organism-based format,,CHEMBL1143795,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum FCM29,FcM29,,,,,,
CHEMBL75215,,,301.47,0.0,3.76,14,CC(C)=CCCC(C)CCN(CCO)COOC(C)(C)C,IC50,'=',3800.0,nM,5.420216403,,,,0,CHEMBL762025,organism-based format,,CHEMBL1133927,1,Scientific Literature,Bioorg Med Chem Lett,,In vitro total parasite growth inhibition for chloroquine-sensitive Plasmodium falciparum FSH 14,FSH 14,,,,,,
CHEMBL457429,,,199.32,0.0,1.94,3b,CC(C)=CCC/C(C)=N\NC(N)=S,IC50,'=',12600.0,nM,4.899629455,,,UO_0000065,0,CHEMBL979943,organism-based format,,CHEMBL1140974,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 in human erythrocytes by [3H]hypoxanthine uptake,W2,,,,,,
