Strains,Alternative Names
3D7,NF54 3D7; 3D7 NF54; 3d7; D7; 3D7A
3D7elo1-pfs16-CBG99,
W2,W-2
K1,KI; Kl
NF54,NF 54; NFS4; NF S4; NF-54; NF5
NF54-Mal8p1.16-GFP-Luc,
Dd2,DD2; dD2
Dd2-luc,
D6,D-6
D10,D-10; D10 7G8
D10 CRT,
HB3,HB; HB-3
CDC/I/HB-3,
7G8,7GB; 7G8 D10
FcB1 ,FCB1; FCB125; Fcb1
GB4,
PC49,
TM91-C235,TM91C235; TM91-C23; TM91 c235; TM91 C235; C235; TM1C235; TM91c235
FcR3,FCR-3; FCR3; FRC-3; FRC3
F32,F-32
FcB1-R ,FcB1R; FCB1-R; FcBIR 
TM4,wtTM4; WTTM4; WT TM4; wt TM4
INDO,Indo
GHA,Ghana; ghana; (Ghana)
FcM29,FCM29
K1CB1,
K14,
FCB,
IPC4912,
GCO3,GC03; GCO3 C2
FCK2,
RKL9,RKL-9; RKL09
CsL-2,CsI-2; CSL-2
D2,D-2
FCA20,FCA 20; FCA
T9/96,T9-96; T9.96; T9 96; T996
T9/94,T9-94; T9.94; T9 94; T994
V1/S,VS/1; V1S; VS1
Indochina I,
TM6,
Haiti 135,
W2mef,W2MEF; W2Mef; W2-Mef; W2-MEF
NF54-R,
Bre1,
IMT 10354,IMT10354
MRC-2,MRC-02; MRC2
FSH14,FSH 14
FJB-D9,FJB D9
THAI,Thai; THAI/Thailand
FcBR,FCBR
PA,
SRIV35,
106/1,
PH3,PH 3
D8,D-8
IMT 16332,IMT16332
TM267TR,
IMT A4,
IMT Bres,
MRC 20,MRC20
NHP1337,
IMT 9996,
IMT K4,
IMT 8425,
IMT 9881,
K2,K-2
FDL-B,
K39,K-39
FLD-B,FLDB
FLD-NG,
C2A,
MP-14,MP14
RKL-2,RKL2; RKL02
FAC8,
FDL-NG,
FDL-HD,
RCS,
Cam 3.II,Cam3.II
SB1,
IMT 31,IMT031
Mad20,MAD20
ItG,
6320,
IMT Guy,
PFB,
Cam 3.1^R539T,Cam 3.1 R539
6218,
FcR3F86,FcR 3F86; FCR3F86
F32-TEM,
F32A,
CS2,
L1,
IMT Vol,IMTVo1
Palo Alto,PaloAlto
NF54-HGL,NF54 HGL
FCC1,
GP1,
VNS,
CDC1,
IMT 10500,IMT10500
RSA11,
IMT L1,IMTL1
VOLL,Voll
BRES,Bres
8425,
J164,
3BA6,
TM90-C2B,C2B; Tm90-C2B; TM90 c2B; TM90 C2B; Tm90; TM90; Tm90C2b; TM90C2B; TM90C2b
TM90-C2A,C2A; Tm90-C2A; TM90 c2A; TM90 C2A; Tm90C2a; TM90C2A
BHz 26/86,BHz26/86
IMT K14,
TM93-C1088,
SB1-A6,
Cam 3.I,Cam3.1; Cam 3.l
FVO,
CAMP,Camp
E8B,
FCC-1/HN,FCC1/HN; FCCI-HN; FCC1-HN; FCCI/HN
Dd 2048,Dd2048; DD 2048; DD2048
Fab9,Fab 9
2087,
Cam 3.II^rev,Cam3.II^rev
Itg2,Itg-2; Itg 2. ITG2
MRA1239,
FcB2,FcB-2; FCB2; FCB-2
KT1,KT-1;KT 1
FG4,FG 4; FG-4
FG3,
FG1,
FG2,
FCM17,FCM 17
FCM6,FCM 6
SGE2,SGE 2
FcR3TC,FCR 3TC; FCR3TC
D3,D-3; D 3
Bres1,Bres 1
Pow,PoW;poW
IMT 10336,IMT10336
FC27,FC 27
IMT 6311,IMT6311
K1Mef,K1MEF; K1mef; K1-mef
F32,FC32
PH1263-C,
IMT K2,IMTK2
KT3,
IMT 16116,IMT16116
TD7,
Nigerian,Nigeria
RF12,
S20,
CP286,
FCA 20/GHA,FCA10/GHA;FCA 10/GHA;FCA20/GHA
SKF58,
TM4/8.2,TM4-8.2; TM 4/8.2; wtTM4/8.2
T9/94 RC17,T9/94RC17
