Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,Potency_label,Representative_pIC50,Flag Groups,mol_freq,strain_freq
CHEMBL3221798,,,632.44,2.0,7.02,22,BrC(COc1cccc2c[n+](Cc3ccccc3)ccc12)CN(Cc1ccccc1)Cc1ccccc1,IC50,'=',1170.0,nM,5.93,,,UO_0000065,0,CHEMBL3227336,organism-based format,,CHEMBL3217689,1,Scientific Literature,Medchemcomm,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum Dd2 by LDH assay,Dd2,5.93,inactive,5.93,CQR,2,3864
CHEMBL844,BRIMONIDINE,4.0,292.14,0.0,1.76,"NCGC00023468-04, UK-14304",Brc1c(NC2=NCCN2)ccc2nccnc12,IC50,'=',7943.28,nM,5.1,,,UO_0000065,0,CHEMBL1267249,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum GB4 after 72 hrs by SYBR green assay,GB4,5.1,inactive,5.1,,3,614
CHEMBL844,BRIMONIDINE,4.0,292.14,0.0,1.76,"NCGC00023468-04, UK-14304",Brc1c(NC2=NCCN2)ccc2nccnc12,IC50,'=',10000.0,nM,5.0,,,UO_0000065,0,CHEMBL1267250,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum HB3 after 72 hrs by SYBR green assay,HB3,5.0,inactive,5.0,,3,983
CHEMBL844,BRIMONIDINE,4.0,292.14,0.0,1.76,"NCGC00023468-04, UK-14304",Brc1c(NC2=NCCN2)ccc2nccnc12,IC50,'=',10000.0,nM,5.0,,,UO_0000065,0,CHEMBL1267251,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum W2 after 72 hrs by SYBR green assay,W2,5.0,inactive,5.0,,3,5923
CHEMBL4764980,,,454.17,1.0,6.94,40,Brc1ccc(-c2nc(-c3ccccc3)[nH]c2-c2ccc(Br)cc2)cc1,IC50,'=',13000.0,nM,4.89,,,UO_0000065,0,CHEMBL4699769,organism-based format,Erythrocyte,CHEMBL4699394,1,Scientific Literature,RSC Med Chem,,Antimalarial activity against Plasmodium falciparum 3D7 infected in human Erythrocyte assessed as reduction in plasmodial growth incubated for 48 hrs by FACS analysis,3D7,4.89,inactive,4.89,,1,7375
CHEMBL5186379,,,327.23,0.0,4.17,70,Brc1ccc(C2NCCc3c2[nH]c2ccccc32)cc1,IC50,'=',6900.0,nM,5.16,,,UO_0000065,0,CHEMBL5097882,organism-based format,,CHEMBL5096184,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against Plasmodium falciparum W2 (MRA-157) incubated for 72 hrs,W2,5.16,inactive,5.16,,2,5923
CHEMBL257014,,,315.16,0.0,4.02,4h,Brc1ccc(C2OOC3(CCCCC3)OO2)cc1,IC50,'=',3810.0,nM,5.42,,,UO_0000065,0,CHEMBL947163,organism-based format,,CHEMBL1142270,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum D6 in parasite LDH assay,D6,5.42,inactive,5.42,,2,2297
CHEMBL257014,,,315.16,0.0,4.02,4h,Brc1ccc(C2OOC3(CCCCC3)OO2)cc1,IC50,'=',5390.0,nM,5.27,,,UO_0000065,0,CHEMBL948168,organism-based format,,CHEMBL1142270,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum W2 in parasite LDH assay,W2,5.27,inactive,5.27,,2,5923
CHEMBL1214041,,,408.14,0.0,3.63,5,Brc1ccc(C[n+]2ccn(Cc3ccccc3)c2)cc1,IC50,'=',2900.0,nM,5.54,,,UO_0000065,0,CHEMBL1217341,organism-based format,,CHEMBL1212856,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against Plasmodium falciparum 3D7 after 72 by LDH assay,3D7,5.54,inactive,5.54,,1,7375
CHEMBL1214044,,,487.03,0.0,4.4,8,Brc1ccc(Cn2cc[n+](Cc3ccc(Br)cc3)c2)cc1,IC50,'=',700.0,nM,6.16,,,UO_0000065,0,CHEMBL1217341,organism-based format,,CHEMBL1212856,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against Plasmodium falciparum 3D7 after 72 by LDH assay,3D7,6.15,active,6.15,,1,7375
CHEMBL3321970,,,373.26,0.0,2.87,10,Brc1ccc(Nc2nc3ccc(N4CCNCC4)cc3[nH]2)nc1,IC50,'=',278.0,nM,6.56,,,UO_0000065,0,CHEMBL3371905,organism-based format,,CHEMBL3351865,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against Plasmodium falciparum K1 by SYBR-green based assay,K1,6.56,active,6.56,,2,5948
