split_key,split,subset,folds,n_total,n_active,n_inactive,prevalence_active_pooled,prevalence_mean,prevalence_sd
random,Random (stratified),train,5,138686,81632,57054,0.5886102418412817,0.5883734725305294,0.011020709380620546
random,Random (stratified),val,5,19810,11564,8246,0.5837455830388693,0.5837455830388693,0.016935496000287487
random,Random (stratified),test,5,39624,23299,16325,0.5880022208762367,0.5854811478526283,0.033284312817951744
scaffold,Scaffold,train,5,138686,80094,58592,0.5775204418614712,0.5770128311593865,0.023479335816543236
scaffold,Scaffold,val,5,19810,13102,6708,0.6613831398283695,0.6613831398283695,0.03305090850162029
scaffold,Scaffold,test,5,39624,23299,16325,0.5880022208762367,0.5821495275919539,0.08328076360703433
butina,Butina,train,5,138686,77525,61161,0.5589965822072884,0.5579582482261506,0.07545050142318438
butina,Butina,val,5,19810,15671,4139,0.791065118626956,0.7910651186269562,0.09401798630596538
butina,Butina,test,5,39624,23299,16325,0.5880022208762367,0.575064026468541,0.24367652209339075
umap_kmeans,UMAP (k-means),train,5,138686,81571,57115,0.5881703993193257,0.5914069944457896,0.07297867957010196
umap_kmeans,UMAP (k-means),val,5,19810,11625,8185,0.5868248359414437,0.5868248359414437,0.07964359821718642
umap_kmeans,UMAP (k-means),test,5,39624,23299,16325,0.5880022208762367,0.6214075561312373,0.17875924269860352
umap_ward,UMAP (ward),train,5,138686,81713,56973,0.5891942950261743,0.5896687179412533,0.028503841139887687
umap_ward,UMAP (ward),val,5,19810,11483,8327,0.5796567390206966,0.5796567390206966,0.052869533265678684
umap_ward,UMAP (ward),test,5,39624,23299,16325,0.5880022208762367,0.5979617364664929,0.13897629153589633
