split,fold,dataset,hit_at_k,ef_at_k,mcc_at_k,hit_at_kpct,ef_at_kpct,mcc_at_kpct,prevalence,k_used,k_pct_used,n_rows,n_actives_total,n_inactives_total,tp_at_k,expected_tp_at_k,tp_at_kpct,expected_tp_at_kpct
butina,2,fold_test,1,1.4422845691382766,0.078942975,0.9944444444444445,1.4342718770875083,0.1498405203569483,0.6933444490760039,100,360,7197,4990,2207,100,69.33444490760039,358,249.60400166736142
butina,2,sexual_data,0.9,1.5476190476190477,0.18635857052124727,0.8923076923076924,1.5343915343915344,0.14452541231217253,0.5815384615384616,100,65,1300,756,544,90,58.15384615384615,58,37.800000000000004
random,1,fold_test,0.99,1.739099207302426,0.10004438041666229,0.994535519,1.7470665989349314,0.19712837483217482,0.5692602215233147,100,366,7313,4163,3150,99,56.92602215233147,364,208.34924107753318
random,1,sexual_data,0.93,1.5992063492063493,0.20391408803411837,0.9384615384615385,1.6137566137566137,0.1659895824575447,0.5815384615384616,100,65,1300,756,544,93,58.15384615384615,61,37.800000000000004
scaffold,1,fold_test,1,1.412556053811659,0.065334196,0.9815950920245399,1.3865580896310765,0.1381806857912819,0.707936508,100,489,9765,6913,2852,100,70.79365079,480,346.1809523809524
scaffold,1,sexual_data,0.92,1.582010582010582,0.19806224886316134,0.9230769230769231,1.5873015873015874,0.15883485907575398,0.5815384615384616,100,65,1300,756,544,92,58.15384615384615,60,37.800000000000004
umap_kmeans,1,fold_test,0.89,1.4133333333333333,0.083773385,0.8962264150943396,1.4232209737827715,0.1266182148125254,0.6297169811320755,100,212,4240,2670,1570,89,62.97169811320755,190,133.5
umap_kmeans,1,sexual_data,0.87,1.496031746031746,0.16880305300837614,0.9076923076923077,1.5608465608465607,0.15168013569396324,0.5815384615384616,100,65,1300,756,544,87,58.15384615384615,59,37.800000000000004
umap_ward,5,fold_test,0.95,1.308578431372549,0.075754153,0.8844444444444445,1.2182788671023965,0.081546981,0.7259786476868327,100,225,4496,3264,1232,95,72.59786476868328,199,163.34519572953735
umap_ward,5,sexual_data,0.9,1.5476190476190477,0.18635857052124727,0.8923076923076924,1.5343915343915344,0.14452541231217253,0.5815384615384616,100,65,1300,756,544,90,58.15384615384615,58,37.800000000000004
