Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,potency_label,Representative_pIC50,Flag resistance,Flag Groups,potency_bin,mol_freq,strain_freq,strain_norm
CHEMBL3349861,,,522.48,2.0,6.44,28,C[C@@H]1CC[C@H]2[C@H](CCCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,IC50,'=',8.2,nM,8.09,,,UO_0000065,0,CHEMBL761311,organism-based format,,CHEMBL1145996,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 Indochina,W2,8.09,high_potency,8.09,chloroquine resistant,CQR,≥7,2,5923,W2
CHEMBL4928718,,,342.31,0.0,2.52,1699430,O=C1NC(=O)c2ccc3c4c(ccc1c24)C(=O)N(c1ccccc1)C3=O,IC50,'=',6030.0,nM,5.22,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.22,inactive,5.335,,,5-6,3,4725,NF54
CHEMBL4948209,,,394.48,0.0,2.84,1702329,COc1ccc(CCNC(=O)c2cnn3c4c(cnc23)C[C@@H](C)CC4)cc1OC,IC50,'=',3020.0,nM,5.52,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.52,inactive,5.71,,,5-6,2,4725,NF54
CHEMBL4918172,,,377.37,0.0,3.42,1703702,COc1ccc(CC(=O)NCCn2c(C(F)(F)F)nc3ccccc32)cc1,IC50,'=',2570.0,nM,5.59,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.59,inactive,5.69,,,5-6,2,4725,NF54
CHEMBL4954470,,,519.72,1.0,4.74,1649381,CCC(CC)c1cc([C@H]2CN3CC[C@H]2C[C@@H]3CNS(=O)(=O)Cc2ccccc2)nc(-c2ccncc2)n1,IC50,'=',2040.0,nM,5.69,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.69,inactive,5.486667,,,5-6,4,4725,NF54
CHEMBL1813090,,,516.41,2.0,6.8,71,COC1=CC(c2ccc[nH]2)=N/C1=C\c1[nH]c(Cc2ccc(Br)cc2)cc1Cc1ccc(F)cc1,IC50,'=',5.7,nM,8.24,,,UO_0000065,0,CHEMBL1816225,organism-based format,,CHEMBL1811838,1,Scientific Literature,J Med Chem,,Antimalarial activity Plasmodium falciparum D6 after 72 hrs by SYBR Green I based fluorescence assay,D6,8.24,high_potency,8.24,,,≥7,2,2297,D6
CHEMBL1800623,,,427.53,0.0,4.77,"3, TDR44047",CCCc1cc(N2CCN(Cc3ccc(F)cc3)CC2)n2c(nc3ccccc32)c1C#N,IC50,'=',53.0,nM,7.28,,,UO_0000065,0,CHEMBL1804015,organism-based format,,CHEMBL1799932,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum NF54,NF54,7.28,active,7.28,,,≥7,2,4725,NF54
CHEMBL1800559,,,423.44,1.0,5.07,4h,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12,IC50,'=',90.0,nM,7.05,,,UO_0000065,0,CHEMBL1804014,organism-based format,,CHEMBL1799932,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum HB3,HB3,7.05,active,7.05,,,≥7,10,983,HB3
CHEMBL1234899,,,381.38,0.0,4.19,2e,Cc1nc2cc(OC(F)(F)F)ccc2n1-c1ccc(C(=O)NC2CC2)s1,IC50,'=',7.0,nM,8.15,,,UO_0000065,0,CHEMBL2014780,organism-based format,,CHEMBL2010768,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in human renal proximal tubule cells after 72 hrs by SYBR green assay,3D7,8.15,high_potency,8.15,,,≥7,2,7375,3D7
CHEMBL3084852,,,675.9,2.0,7.18,26,CCNC(=O)CCC(C)C1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCC(CC)CC1)OO5,IC50,'=',23.14,nM,7.64,,,UO_0000065,0,CHEMBL767074,organism-based format,,CHEMBL1135585,1,Scientific Literature,J Med Chem,,In vitro inhibitory activity against chloroquine-sensitive Plasmodium falciparum African D6,D6,7.64,high_potency,7.67,chloroquine sensitive,CQS,≥7,4,2297,D6
CHEMBL4871841,,,418.52,1.0,5.51,29,CCN(CC)Cc1cccc(Nc2nc3ccccc3n2Cc2ccc(F)cc2)c1O,IC50,'=',360.0,nM,6.44,,,UO_0000065,0,CHEMBL4835667,organism-based format,,CHEMBL4834426,1,Scientific Literature,J Med Chem,,Antimalarial activity against asexual blood stage drug-sensitive Plasmodium falciparum NF54 infected in erythrocytes assessed as reduction in parasitemia incubated up to 72 hrs by [3H]hypoxanthine incorporation assay,NF54,6.44,active,6.44,asexual blood stage drug sensitive,MDS,6-7,2,4725,NF54
CHEMBL3121246,,,330.34,0.0,3.05,4,CCOC(=O)c1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2,IC50,'=',86750.0,nM,4.06,,,UO_0000065,0,CHEMBL3122352,organism-based format,,CHEMBL3120068,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity against chloroquine-resistant blood stage Plasmodium falciparum Dd2 after 72 hrs by SYBR Green I-based fluorescence assay,Dd2,4.06,inactive,4.06,chloroquine resistant,CQR,≤5,2,3864,Dd2
CHEMBL1079460,,,452.56,0.0,3.91,SID50106459,O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3,IC50,'=',630.96,nM,6.2,,,UO_0000065,0,CHEMBL1267245,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum 3D7 after 72 hrs by SYBR green assay,3D7,6.2,active,6.2,,,6-7,7,7375,3D7
CHEMBL3286864,,,394.27,0.0,2.36,13,CC(C)CN(NC(=O)C1CCC(=O)CC1)c1nc(C#N)ncc1Br,IC50,'=',48.2,nM,7.32,,,UO_0000065,0,CHEMBL3292034,organism-based format,,CHEMBL3286314,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 after 48 hrs by FACS analysis,3D7,7.32,active,7.32,chloroquine sensitive,CQS,≥7,4,7375,3D7
CHEMBL260474,,,334.9,0.0,3.62,4a,CCN(CC)CCCNCCNc1ccnc2cc(Cl)ccc12,IC50,'=',129.0,nM,6.89,,,UO_0000065,0,CHEMBL928290,organism-based format,,CHEMBL1144696,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum Dd2 after 72 hrs by SYBR green 1 assay,Dd2,6.89,active,6.89,chloroquine resistant,CQR,6-7,6,3864,Dd2
CHEMBL4797103,,,351.29,0.0,0.33,45; C550,CCN(CC)CCCON1C(N)=NC(N)=NC1(C)C,IC50,'=',32.0,nM,7.5,,,UO_0000065,0,CHEMBL4768942,organism-based format,Erythrocyte,CHEMBL4765292,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against Plasmodium falciparum K1CB1 harboring DHFR C59R/S108T mutant infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 20 hrs followed by [3H]-hypoxanthine addition measured after 20 hrs by radioactivity method,K1CB1,7.49,active,7.49,,,≥7,5,55,K1CB1
CHEMBL19215,METERGOLINE,4.0,403.53,0.0,4.06,NCGC00022834-04,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,IC50,'=',10000.0,nM,5.0,,,UO_0000065,0,CHEMBL1267248,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum Dd2 after 72 hrs by SYBR green assay,Dd2,5.0,inactive,5.0,,,≤5,8,3864,Dd2
CHEMBL1256658,CHLORPROTHIXENE HYDROCHLORIDE,,352.33,1.0,5.19,NCGC00093653-01,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,IC50,'=',12589.25,nM,4.9,,,UO_0000065,0,CHEMBL1267249,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum GB4 after 72 hrs by SYBR green assay,GB4,4.9,inactive,4.9,,,≤5,7,614,GB4
CHEMBL34259,METHOTREXATE,4.0,454.45,0.0,0.27,NCGC00025060-02,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,IC50,'=',79.43,nM,7.1,,,UO_0000065,0,CHEMBL1267248,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum Dd2 after 72 hrs by SYBR green assay,Dd2,7.1,active,8.575,,,≥7,18,3864,Dd2
CHEMBL1255747,DIPROPYLDOPAMINE HYDROBROMIDE,,318.26,0.0,2.76,NCGC00093878-01,CCCN(CCC)CCc1ccc(O)c(O)c1,IC50,'=',12589.25,nM,4.9,,,UO_0000065,0,CHEMBL1267250,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum HB3 after 72 hrs by SYBR green assay,HB3,4.9,inactive,4.9,,,≤5,6,983,HB3
CHEMBL305881,,,317.43,0.0,2.76,"NCGC00094238-01, PRE-084",O=C(OCCN1CCOCC1)C1(c2ccccc2)CCCCC1,IC50,'=',12589.25,nM,4.9,,,UO_0000065,0,CHEMBL1267250,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum HB3 after 72 hrs by SYBR green assay,HB3,4.9,inactive,4.9,,,≤5,6,983,HB3
CHEMBL1479,DANAZOL,4.0,337.46,0.0,4.22,NCGC00024732-02,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,IC50,'=',12589.25,nM,4.9,,,UO_0000065,0,CHEMBL1267245,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum 3D7 after 72 hrs by SYBR green assay,3D7,4.9,inactive,4.9,,,≤5,6,7375,3D7
CHEMBL1650038,SIMALIKALACTONE E,,578.66,2.0,1.1,SkE,CC[C@H](C)C(=O)O[C@@H]1[C@H]2C(C)=CC(=O)[C@@H](O)[C@]2(C)[C@H]2[C@@H](O)[C@H](O)[C@@]3(C)OC[C@@]24[C@@H]1OC(=O)[C@H](OC(=O)[C@@H](C)CC)[C@@H]34,IC50,'=',68.0,nM,7.17,,,UO_0000065,0,CHEMBL1653653,organism-based format,,CHEMBL1649241,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum F32 assessed as suppression of parasitemia after 4 hrs by Giemsa staining,F32,7.17,active,7.17,,,≥7,3,186,F32
CHEMBL38827,LUMEFANTRINE,4.0,528.95,2.0,9.15,Lumefantrine,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,IC50,'=',29.0,nM,7.54,,,UO_0000065,0,CHEMBL760064,organism-based format,,CHEMBL1135059,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum 3D7 in erythrocytes,3D7,7.54,high_potency,8.1,,,≥7,48,7375,3D7
CHEMBL38827,LUMEFANTRINE,4.0,528.95,2.0,9.15,LM,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,IC50,'=',53.0,nM,7.28,,,UO_0000065,0,CHEMBL1654415,organism-based format,,CHEMBL1649476,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against multidrug-resistant Plasmodium falciparum VS/1 by [3H]hypoxanthine incorporation assay,V1/S,7.28,active,7.45,multidrug resistant,MDR,≥7,48,202,V1
CHEMBL3349381,,,434.37,0.0,4.7,4g,C[C@@H]1CC[C@H]2[C@@H](C)C(OC(C(F)(F)F)C(F)(F)F)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,IC50,'=',34.0,nM,7.47,,,UO_0000065,0,CHEMBL767002,organism-based format,,CHEMBL1131140,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity for Plasmodium falciparum W-2,W2,7.47,active,7.47,,,≥7,1,5923,W2
CHEMBL3115468,,,348.83,1.0,5.17,4c,C=C(C)Cn1cc(-n2ccc3ccccc32)c(=O)c2ccc(Cl)cc21,IC50,'=',17200.0,nM,4.76,,,UO_0000065,0,CHEMBL3118778,organism-based format,,CHEMBL3112540,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity chloroquine-resistant Plasmodium falciparum Dd2 by lactate dehydrogenase assay,Dd2,4.76,inactive,4.76,chloroquine resistant,CQR,≤5,2,3864,Dd2
CHEMBL469912,PUROMYCIN,2.0,471.52,1.0,-0.79,Puromycin,COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1,IC50,'=',64.0,nM,7.19,,,UO_0000065,0,CHEMBL2439161,organism-based format,,CHEMBL2434842,1,Scientific Literature,J Med Chem,,Antimalarial activity against asexual stage of Plasmodium falciparum 3D7 after 72 hrs by image-based HTS assay,3D7,7.19,active,7.207778,,,≥7,31,7375,3D7
CHEMBL469912,PUROMYCIN,2.0,471.52,1.0,-0.79,Puromycin,COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1,IC50,'=',22.7,nM,7.64,,,UO_0000065,0,CHEMBL3760799,organism-based format,,CHEMBL3758154,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 assessed as inhibition of parasite growth after 72 hrs by DAPI staining-based confocal microscopic analysis,3D7,7.64,high_potency,7.207778,chloroquine sensitive,CQS,≥7,31,7375,3D7
