Document ChEMBL ID,year
CHEMBL3997846,2017.0
CHEMBL1131600,1998.0
CHEMBL1127825,1994.0
CHEMBL1134369,2001.0
CHEMBL1149097,2004.0
CHEMBL1135059,2002.0
CHEMBL1145996,2003.0
CHEMBL4888484,2022.0
CHEMBL1134569,2001.0
CHEMBL1144696,2008.0
CHEMBL1135585,2002.0
CHEMBL1142398,2008.0
CHEMBL1134841,2001.0
CHEMBL1799932,2011.0
CHEMBL1811838,2011.0
CHEMBL1148453,2004.0
CHEMBL1131162,1998.0
CHEMBL1671820,2011.0
CHEMBL1671726,2010.0
CHEMBL1144599,2007.0
CHEMBL1681728,2011.0
CHEMBL2029228,2012.0
CHEMBL1649312,2010.0
CHEMBL1131341,1998.0
CHEMBL2010768,2011.0
CHEMBL3232725,2014.0
CHEMBL1629675,2009.0
CHEMBL2016476,2012.0
CHEMBL2146418,2012.0
CHEMBL1649448,2009.0
CHEMBL4834425,2021.0
CHEMBL4834426,2021.0
CHEMBL3120068,2014.0
CHEMBL3286148,2014.0
CHEMBL3098039,2014.0
CHEMBL1126302,1992.0
CHEMBL1137928,2004.0
CHEMBL1148452,2004.0
CHEMBL3259800,2014.0
CHEMBL1255382,2009.0
CHEMBL3232977,2014.0
CHEMBL3259704,2014.0
CHEMBL3286314,2014.0
CHEMBL1155951,2008.0
CHEMBL1140972,2008.0
CHEMBL3217635,2011.0
CHEMBL1136806,2003.0
CHEMBL2040800,2012.0
CHEMBL1641553,2011.0
CHEMBL3232804,2014.0
CHEMBL2029239,2012.0
CHEMBL2029230,2012.0
CHEMBL1641571,2011.0
CHEMBL2016447,2011.0
CHEMBL2021864,2012.0
CHEMBL1136364,2003.0
CHEMBL1137288,2006.0
CHEMBL1255309,2008.0
CHEMBL2021854,2012.0
CHEMBL1806406,2011.0
CHEMBL1142435,2008.0
CHEMBL4765324,2020.0
CHEMBL4765460,2020.0
CHEMBL1177693,2009.0
CHEMBL4765292,2020.0
CHEMBL1208779,2010.0
CHEMBL1145071,2003.0
CHEMBL1141084,2005.0
CHEMBL1147647,2006.0
CHEMBL1821712,2011.0
CHEMBL4665665,2019.0
CHEMBL2034827,2012.0
CHEMBL1135512,2002.0
CHEMBL1137111,2004.0
CHEMBL2086324,2012.0
CHEMBL2113921,
CHEMBL1135602,2002.0
CHEMBL1133105,2000.0
CHEMBL1138849,2004.0
CHEMBL1126070,1992.0
CHEMBL2057139,2012.0
CHEMBL1129934,1997.0
CHEMBL1145364,2007.0
CHEMBL4706546,2020.0
CHEMBL1687720,2009.0
CHEMBL1649241,2009.0
CHEMBL1641438,2011.0
CHEMBL1687739,2009.0
CHEMBL1641490,2011.0
CHEMBL1143955,2008.0
CHEMBL1649283,2009.0
CHEMBL2040813,2011.0
CHEMBL1142287,2008.0
CHEMBL1926599,2011.0
CHEMBL1649476,2009.0
CHEMBL1131415,1998.0
CHEMBL1135560,2002.0
CHEMBL1154474,2008.0
CHEMBL1131140,1998.0
CHEMBL1135534,2002.0
CHEMBL4390668,2019.0
CHEMBL3112540,2014.0
CHEMBL3112485,2014.0
CHEMBL2434842,2013.0
CHEMBL4138212,2018.0
CHEMBL3758154,2015.0
CHEMBL1138248,2007.0
CHEMBL3044897,2007.0
CHEMBL3108756,2014.0
CHEMBL1136081,2003.0
CHEMBL1147171,2007.0
CHEMBL3297665,2014.0
CHEMBL3813696,2016.0
CHEMBL3352505,2014.0
CHEMBL1142373,2008.0
CHEMBL4219162,2018.0
CHEMBL1132122,1999.0
CHEMBL3392977,2015.0
CHEMBL3352507,2014.0
CHEMBL1135594,2002.0
CHEMBL1149143,2004.0
CHEMBL1147584,2004.0
CHEMBL1158566,2010.0
CHEMBL1149205,2004.0
CHEMBL1134464,2001.0
CHEMBL1140898,2009.0
CHEMBL1135536,2002.0
CHEMBL3407490,2015.0
CHEMBL3399958,2015.0
CHEMBL3400088,2015.0
CHEMBL1177790,2010.0
CHEMBL1143522,2005.0
CHEMBL1687846,2011.0
CHEMBL3351535,2014.0
CHEMBL1155443,2010.0
CHEMBL1152744,2009.0
CHEMBL1152627,2009.0
CHEMBL2062381,2012.0
CHEMBL3351566,2014.0
CHEMBL3407342,2015.0
CHEMBL3400070,2015.0
CHEMBL1153593,2009.0
CHEMBL1177852,2010.0
CHEMBL1671704,2010.0
CHEMBL1671705,2010.0
CHEMBL1153083,2009.0
CHEMBL3259529,2014.0
CHEMBL1153115,2010.0
CHEMBL1137635,2007.0
CHEMBL1144511,2007.0
CHEMBL1132467,1999.0
CHEMBL1149757,2008.0
CHEMBL1139381,2009.0
CHEMBL1156420,2007.0
CHEMBL3259682,2014.0
CHEMBL1140279,2005.0
CHEMBL1157377,2007.0
CHEMBL1138331,2007.0
CHEMBL1240532,2010.0
CHEMBL1155453,2010.0
CHEMBL1142372,2008.0
CHEMBL1146201,2007.0
CHEMBL1147097,2007.0
CHEMBL1140975,2008.0
CHEMBL1138538,2007.0
CHEMBL1153081,2009.0
CHEMBL1153384,2009.0
CHEMBL1268944,2010.0
CHEMBL1150378,2008.0
CHEMBL1153706,2009.0
CHEMBL3102791,2014.0
CHEMBL1152414,2009.0
CHEMBL1142270,2008.0
CHEMBL1141653,2008.0
CHEMBL1140598,2007.0
CHEMBL1159089,2010.0
CHEMBL1141504,2008.0
CHEMBL1141474,2008.0
CHEMBL1155893,2008.0
CHEMBL3098028,2013.0
CHEMBL3085636,2013.0
CHEMBL1149840,2008.0
CHEMBL1150125,2002.0
CHEMBL2440077,2013.0
CHEMBL1143810,2007.0
CHEMBL3102808,2014.0
CHEMBL1137552,2007.0
CHEMBL3098117,2013.0
CHEMBL1148828,2007.0
CHEMBL2434884,2013.0
CHEMBL1157985,1999.0
CHEMBL1149084,2009.0
CHEMBL1926546,2012.0
CHEMBL1132310,1999.0
CHEMBL1158442,2009.0
CHEMBL1154680,2010.0
CHEMBL1143795,2007.0
CHEMBL1154601,2009.0
CHEMBL1149611,2007.0
CHEMBL1147526,2004.0
CHEMBL1949604,2012.0
CHEMBL1137430,2006.0
CHEMBL1156821,2010.0
CHEMBL1156777,2010.0
CHEMBL1146023,2006.0
CHEMBL1156771,2010.0
CHEMBL1287748,2010.0
CHEMBL2086295,2012.0
CHEMBL2069211,2012.0
CHEMBL1158572,2010.0
CHEMBL1138055,2006.0
CHEMBL2429868,2013.0
CHEMBL1138178,2006.0
CHEMBL1147781,2006.0
CHEMBL2429741,2013.0
CHEMBL1149674,2007.0
CHEMBL2385043,2013.0
CHEMBL1146137,2006.0
CHEMBL2417357,2013.0
CHEMBL2169755,2012.0
CHEMBL1145256,2005.0
CHEMBL4340555,2019.0
CHEMBL1147855,2007.0
CHEMBL4602727,2020.0
CHEMBL4619768,2020.0
CHEMBL1136720,2003.0
CHEMBL1147882,2007.0
CHEMBL1146897,2006.0
CHEMBL2163278,2012.0
CHEMBL2021782,2012.0
CHEMBL2040839,2012.0
CHEMBL1154742,2010.0
CHEMBL3351819,2015.0
CHEMBL1149128,2004.0
CHEMBL3414541,2015.0
CHEMBL1134377,2001.0
CHEMBL3400065,2015.0
CHEMBL3351876,2014.0
CHEMBL3351865,2014.0
CHEMBL3352040,2014.0
CHEMBL3351898,2015.0
CHEMBL5308541,2023.0
CHEMBL3351258,2015.0
CHEMBL1806452,2011.0
CHEMBL5120935,2022.0
CHEMBL5113376,2021.0
CHEMBL5113378,2022.0
CHEMBL1133897,2001.0
CHEMBL5120754,2022.0
CHEMBL3351935,2015.0
CHEMBL1800027,2011.0
CHEMBL5096157,2021.0
CHEMBL1781903,2011.0
CHEMBL1146633,2003.0
CHEMBL3352080,2014.0
CHEMBL5046276,2022.0
CHEMBL3120127,2014.0
CHEMBL1828581,2011.0
CHEMBL1138870,2006.0
CHEMBL1139844,2007.0
CHEMBL3102724,2014.0
CHEMBL1140860,2009.0
CHEMBL5032501,2021.0
CHEMBL1142519,2008.0
CHEMBL1140974,2008.0
CHEMBL1629555,2008.0
CHEMBL1157495,2008.0
CHEMBL1157424,2008.0
CHEMBL3085730,2013.0
CHEMBL5230155,2021.0
CHEMBL3112527,2014.0
CHEMBL5214895,2021.0
CHEMBL4422700,2019.0
CHEMBL4422657,2019.0
CHEMBL2407032,2013.0
CHEMBL4428069,2016.0
CHEMBL3217689,2013.0
CHEMBL2407058,2013.0
CHEMBL1681721,2011.0
CHEMBL5104230,2022.0
CHEMBL2417501,2013.0
CHEMBL5096178,2021.0
CHEMBL2407044,2013.0
CHEMBL5096184,2021.0
CHEMBL5113394,2022.0
CHEMBL5104092,2021.0
CHEMBL5137130,2022.0
CHEMBL2412968,2013.0
CHEMBL5233251,2020.0
CHEMBL5230095,2020.0
CHEMBL5233261,2021.0
CHEMBL1133696,2000.0
CHEMBL1134883,2002.0
CHEMBL2034950,2012.0
CHEMBL5233235,2020.0
CHEMBL1134176,2001.0
CHEMBL3259771,2014.0
CHEMBL2321781,2013.0
CHEMBL1128219,1995.0
CHEMBL2040840,2012.0
CHEMBL5244272,2021.0
CHEMBL3779822,2016.0
CHEMBL3868603,2017.0
CHEMBL1134600,2001.0
CHEMBL5241075,2021.0
CHEMBL5236628,2022.0
CHEMBL1212815,2010.0
CHEMBL3600347,2015.0
CHEMBL3603813,2015.0
CHEMBL3603824,2015.0
CHEMBL1152671,2009.0
CHEMBL1152572,2009.0
CHEMBL1153556,2008.0
CHEMBL1153541,2009.0
CHEMBL5352391,2022.0
CHEMBL1144904,2003.0
CHEMBL1649193,2009.0
CHEMBL1132557,1999.0
CHEMBL1629606,2009.0
CHEMBL1152566,2009.0
CHEMBL1157552,2010.0
CHEMBL1649566,2009.0
CHEMBL1159040,2010.0
CHEMBL1255487,2010.0
CHEMBL1649199,2009.0
CHEMBL2401699,2013.0
CHEMBL3124877,2013.0
CHEMBL2412993,2013.0
CHEMBL1166001,2010.0
CHEMBL1151838,2009.0
CHEMBL1150767,2008.0
CHEMBL1154986,2010.0
CHEMBL2429811,2013.0
CHEMBL1155825,2008.0
CHEMBL1136166,2003.0
CHEMBL1759987,2011.0
CHEMBL1124063,1988.0
CHEMBL1158370,2009.0
CHEMBL5154763,2022.0
CHEMBL1133112,2000.0
CHEMBL1156343,2001.0
CHEMBL1143376,2009.0
CHEMBL1144785,2008.0
CHEMBL1143267,2009.0
CHEMBL1155642,2000.0
CHEMBL1136509,2003.0
CHEMBL1132443,1999.0
CHEMBL1150170,2002.0
CHEMBL1153093,2009.0
CHEMBL1157812,2010.0
CHEMBL1154850,2010.0
CHEMBL1133629,2000.0
CHEMBL1135107,2002.0
CHEMBL1134480,2001.0
CHEMBL3217739,2011.0
CHEMBL1949634,2012.0
CHEMBL1208714,2010.0
CHEMBL1255291,2008.0
CHEMBL1130787,1998.0
CHEMBL1154138,2008.0
CHEMBL1123447,1986.0
CHEMBL1156797,2010.0
CHEMBL1132419,1999.0
CHEMBL1154711,2010.0
CHEMBL1154702,2009.0
CHEMBL1770070,2011.0
CHEMBL1275366,2010.0
CHEMBL1150240,2008.0
CHEMBL1139863,2007.0
CHEMBL1148880,2007.0
CHEMBL1926505,2011.0
CHEMBL1140574,2007.0
CHEMBL4118254,2018.0
CHEMBL2401618,2013.0
CHEMBL2407056,2013.0
CHEMBL2046333,2012.0
