split,fold,fold_test_rmse,external_rmse
butina,1,6.361968040466309,6.299617767333984
butina,2,5.734399318695068,6.270904541015625
butina,3,5.981974124908447,6.326996326446533
butina,4,6.188820838928223,6.412831783294678
butina,5,6.502030372619629,6.606677532196045
random,1,6.2842488288879395,6.433773040771484
random,2,6.285851955413818,6.39431619644165
random,3,6.3480448722839355,6.441535472869873
random,4,6.269569396972656,6.351420879364014
random,5,6.311952590942383,6.4552998542785645
scaffold,1,6.375885486602783,6.316143035888672
scaffold,2,6.13972282409668,6.4082112312316895
scaffold,3,6.184341907501221,6.332759380340576
scaffold,4,6.272359848022461,6.377605438232422
scaffold,5,6.408759593963623,6.4526801109313965
umap,1,6.300449848175049,6.363683700561523
umap,2,5.944123268127441,6.286868572235107
umap,3,6.235227108001709,6.286891460418701
umap,4,6.222056865692139,6.441077709197998
umap,5,6.376317024230957,6.5662407875061035
umap_hdb,1,6.414062023162842,6.4449238777160645
umap_hdb,2,6.230825424194336,6.297104358673096
umap_hdb,3,6.028424263000488,6.294892311096191
umap_hdb,4,6.250056266784668,6.468284606933594
umap_hdb,5,6.2706990242004395,6.435286998748779
