split,fold,fold_test_rmse,external_rmse
butina,1,6.042198181152344,6.3859477043151855
butina,2,6.098371982574463,6.505066394805908
butina,3,5.962398529052734,6.396178245544434
butina,4,6.3228020668029785,6.579503059387207
butina,5,6.5577826499938965,6.788750171661377
random,1,6.4949049949646,6.67418098449707
random,2,6.425644874572754,6.593835830688477
random,3,6.539061546325684,6.631397724151611
random,4,6.442286968231201,6.616666793823242
random,5,6.453359127044678,6.63481330871582
scaffold,1,6.331312656402588,6.499007701873779
scaffold,2,6.509751796722412,6.61558198928833
scaffold,3,6.310406684875488,6.573441982269287
scaffold,4,6.4621968269348145,6.659008979797363
scaffold,5,6.428674697875977,6.562090873718262
umap_kmeans,1,5.772294998168945,6.513735294342041
umap_kmeans,2,6.671304702758789,6.7505927085876465
umap_kmeans,3,5.889355659484863,6.488221168518066
umap_kmeans,4,5.7888407707214355,6.403789520263672
umap_kmeans,5,5.896457672119141,6.488905429840088
umap_ward,1,6.269235134124756,6.549540996551514
umap_ward,2,5.780109882354736,6.534879207611084
umap_ward,3,6.248429775238037,6.634824752807617
umap_ward,4,5.896591663360596,6.593623161315918
umap_ward,5,5.828730583190918,6.513876914978027
