Unique Flags,,,,,Flag Groups,,
chloroquine resistant,,,,,CQR,,
chloroquine sensitive,,,,,CQS,,
multidrug resistant,,,,,MDR,,
chloroquine sensitive mefloquine resistant,,,,,"CQS, MEFR",,
chloroquine pyrimethamine resistant,,,,,"CQR, PYRR",,
mefloquine resistant,,,,,MEFR,,
in chloroquine sensitive,,,,,CQS,,
asexual blood stage drug sensitive,,,,,MDS,,
asexual blood stage multi drug resistant,,,,,MDR,,
chloroquine resistant and mefloquine sensitive,,,,,"CQR, MEFS",,
chloroquine and mefloquine sensitive,,,,,"CQS, MEFS",,
cq resistant mfq susceptible,,,,,"CQR, MEFS",,
atoquinone resistant,,,,,ATQR,,
cq sensitive,,,,,CQS,,
growth inhibition of chloroquine sensitive,,,,,CQS,,
asexual erythrocyte stage of chloroquine sensitive,,,,,CQS,,
asexual erythrocyte stage of chloroquine resistant,,,,,CQR,,
in vitro inhibition of chloroquine sensitive,,,,,CQS,,
mefloquine resistant chloroquine sensitive,,,,,"CQS, MEFR",,
chloroquine resistant mefloquine sensitive,,,,,"CQR, MEFS",,
erythrocytic stage of chloroquine and pyrimethamine resistant,,,,,"CQR, PYRR",,
chloroquine and pyrimethamine resistant,,,,,"CQR, PYRR",,
drug sensitive,,,,,MDS,,
chloroquine pyrimethamine and proguanil resistant,,,,,"CQR, PYRR, PRGR",,
drug resistant,,,,,MDR,,
chloroquine susceptible,,,,,CQS,,
blood stage forms of multidrug resistant,,,,,MDR,,
blood stage forms of chloroquine sensitive,,,,,CQS,,
mra 150 chloroquine pyrimethamine mefloquine resistant,,,,,"CQR, PYRR, MEFR",,
as 3rd generation ring stage chloroquine sensitive,,,,,CQS,,
as 2nd generation ring stage chloroquine resistant,,,,,CQR,,
cq mfq susceptible,,,,,"CQS, MEFS",,
cq mfq resistant,,,,,"CQR, MEFR",,
parasite growth in chloroquine sensitive,,,,,CQS,,
azithromycin resistant,,,,,AZRR,,
erythrocytic stage of chloroquine/pyrimethamine resistant,,,,,"CQR, PYRR",,
as growth inhibition of chloroquine resistant,,,,,CQR,,
nitd609 resistant,,,,,NITD609R,,
chloroquine/pyrimethamine resistant,,,,,"CQR, PYRR",,
atovaquone resistant,,,,,ATVQR,,
chloroquine pyrimethamine and cycloguanil resistant,,,,,"CQR, PYRR, CYGR",,
blood stage of chloroquine resistant,,,,,CQR,,
plasmodium falciparum resistant,,,,,MDR,,
multi drug resistant,,,,,MDR,,
cq susceptible,,,,,CQS,,
erythrocytic chloroquine/pyrimethamine resistant,,,,,"CQR, PYRR",,
growth inhibition of chloroquine resistant,,,,,CQR,,
blood stage drug sensitive,,,,,MDS,,
chloroquine /mefloquine/pyrimethamine resistant,,,,,"CQR, MEFR, PYRR",,
chloroquine sensitive/mefloquine resistant,,,,,"CQS, MEFR",,
chloroquine resistant/mefloquine sensitive,,,,,"CQR, MEFS",,
asexual blood stage chloroquine resistant,,,,,CQR,,
erythrocyte stages of chloroquine sensitive,,,,,CQS,,
erythrocyte stages of chloroquine resistant,,,,,CQR,,
asexual stage of chloroquine sensitive,,,,,CQS,,
asexual blood stage of multidrug resistant,,,,,MDR,,
chloroquine/mefloquine sensitive,,,,,"CQS, MEFS",,
erythrocytic stage of multidrug resistant,,,,,MDR,,
erythrocytic stage of chloroquine resistant,,,,,CQR,,
blood stage chloroquine sensitive,,,,,CQS,,
erythrocytic stage of chloroquine sensitive,,,,,CQS,,
art sensitive,,,,,ARTS,,
pyrimethamine sensitive,,,,,PYRS,,
chloroquinone sensitive,,,,,CQNS,,
cq resistant,,,,,CQR,,
pyrimethamine resistant,,,,,PYRR,,
multidrug sensitive,,,,,MDS,,
cycloguanil resistant,,,,,CYGR,,
as 2nd generation ring stage chloroquine sensitive,,,,,CQS,,
schizont stage of chloroquine resistant,,,,,CQR,,
schizont stage of atovaquone resistant,,,,,ATVQR,,
chloroquine mefloquine sensitive,,,,,"CQS, MEFS",,
intraerythrocytic ring stage culture of chloroquine resistant,,,,,CQR,,
in vitro inhibition of chloroquine resistant,,,,,CQR,,
blood stage of chloroquine sensitive,,,,,CQS,,
chloroquine sensitive/sulfadoxine resistant,,,,,"CQS, SXDR",,
chloroquine/proguanil/pyrimethamine resistant,,,,,"CQR, PRGR, PYRR",,
chloroquine/mefloquine resistant,,,,,"CQR,MEFR",,
erythrocytic stage multidrug resistant,,,,,MDR,,
artemisinin sensitive,,,,,ARTS,,
mid ring stage of multidrug sensitive,,,,,MDS,,
asexual blood stage of chloroquine susceptible,,,,,CQS,,
chloroquine and mefloquine resistant,,,,,"CQR, MEFR",,
asexual intraerythrocytic ring stage of chloroquine sensitive,,,,,CQS,,
erythrocytic stage chloroquine sensitive,,,,,CQS,,
asexual erythrocytic stage of chloroquine sensitive,,,,,CQS,,
chloroquine quinine and pyrimethamine resistant,,,,,"CQR, QR, PYRR",,
ring stage chloroquine sensitive,,,,,CQS,,
ring stage chloroquine resistant,,,,,CQR,,
in vitro inhibition chloroquine resistant,,,,,CQR,,
chloroquine/sulfadoxine resistant,,,,,"CQR, SXDR",,
chloroquine/purimethamine/proguanil resistant,,,,,"CQR, PRGR, PUMR",,
erythrocytic stage of chloroquine/pyrimethamine/cycloguanil resistant,,,,,"CQR, PYRR, CYGR",,
erythrocytic stage chloroquine resistant,,,,,CQR,,
blood stage multidrug resistant,,,,,MDR,,
gha chloroquine sensitive,,,,,CQS,,
asexual blood stage sulfadoxine pyrimethamine/mefloquine resistant,,,,,"SXDR, PYRR, MEFR",,
chloquine resistant,,,,,CQR,,
chloroquinone resistant,,,,,CQNR,,
asexual intraerythrocytic ring stage of antifolate resistant,,,,,AFR,,
chloroquine/cycloguanil/pyrimethamine resistant,,,,,"CQR, CYGR, PYRR",,
chloroquine/pyrimethamine/proguanil resistant,,,,,"CQR, PRGR, PYRR",,
mutidrug resistant,,,,,MDR,,
d sorbitol synchronized ring stage of chloroquine resistant,,,,,CQR,,
antifolate resistant,,,,,AFR,,
synchronized ring stage cq sensitive,,,,,CQS,,
synchronized ring stage cq resistant,,,,,CQR,,
leupeptin resistant,,,,,LEUR,,
