Strain,Count
K1,7969
FJB D9,26
NF54,6250
D6,3707
W2,8219
Dd2,4916
FcB1-R ,243
FSH 14,26
FCB,59
D2,49
HB3,1043
Haiti 135,64
F09A41,1
F08B40,1
F09N1,1
3D7,9751
TM91-C235,732
D-8,18
IMT Guy,18
FcB1,902
IMT 16332,19
IMT K2,24
SB1,10
7G8,923
FcR3,651
Bre1,32
D10,1829
TM90C2B,100
GB4,617
F32,284
K1CB1,72
CsI-2,2
V1/S,155
wtTM4/8.2,43
FCA20,55
FCK2,53
VS/1,44
Indochina I,64
3D7A,250
NHP1337,18
Thai,40
3C20,2
PF18,1
F09A21,1
FCC1/HN,6
GHA,221
IMT K14,19
IMT 10500,19
IMT K4,19
IMT Bres,19
TM1C235,1
GCO3,65
3BA6,6
Nigerian,159
106/1'76I,3
FcM29,177
VS1,26
MRC-02,33
K14,44
IMT A4,19
IMT 31,19
IMT 8425,19
IMT 10336,19
IMT Vol,19
FCR-3/A2,1
THAI/Thailand,20
T9/94,36
F08B63,1
F09A61,1
F09N22,1
FLD-B,14
RKL9,167
HB,2
T9/96,46
E8B,3
3A26,2
TM90-C2A,3
TM90C2A,58
V1S,6
IMT 9881,19
FLD-NG,12
CDC1,6
BHz26/86,9
TM4/8.2,139
Tm90C2b,16
FDL-HD,14
KA6,4
FCM17,2
F07-7,1
F09N18,1
F09A54,1
F09A9,1
F07-3,1
F07-27,1
IMT 10354,9
TM4,44
Nigeria,41
MRC2,12
QF5,4
DAN,4
MP14,13
TM6,38
FDL-B,14
FCR3/A2,16
IMT031,10
Palo Alto,8
CsL-2,53
MRA1239,2
IMT L1,19
FCC1,6
FcBR,10
W2mef,50
FCBR,29
INDO,118
VNS,6
FAC8,12
KT1,3
SKF58,23
CP286,13
PH1263-C,1
NF54-R,38
T9.94,5
F07-11,1
Mad20,9
TM267TR,19
HB3-leuR1,7
F09N6,1
F07-47,1
RSA11,5
FCA10/GHA,3
T9/94 RC17,49
Cam 3.1 R539,12
C2A,14
FVO,3
FCCI-HN,2
PA,30
THAI,13
RKL-2,21
Cam3.II,11
FCR3F86,7
W2AL80,2
3A17,2
F08B32,1
F09N58,1
3D7 ,1
NF54 HGL,20
K2,17
Cam3.II^C580Y,6
ItG,11
2087,2
FG3,2
AZ10011008,3
SRIV35,23
SGE2,4
F32-TEM,9
MRC-2,16
PFB,9
Tm90-C2B,155
106/1,21
GP1,7
F07-23,1
F07-29,1
L1,6
FG1,2
PH3,23
SB,1
KC98358,1
FC32,1
FG2,2
TM90C2b,5
MRC 20,17
FC27,18
6320,8
BHz 26/86,7
GC03,1
F32A,7
W2-Mef,20
3A7,2
GA3,2
CAMP,3
AZ10011003,3
AZ10011017,3
Bres,6
SB1-A6,7
RCS,7
Cam3.II^rev,6
6816,1
8968,1
8973,1
FDL-NG,12
J164,4
K39,13
208432,5
106/1'76N,3
CH12,2
TD7,1
Kil-164,6
KT3,3
D-3,2
Dd2-B2,4
IPC4912,6
FCM6,2
FCB-2,1
RF12,1
FG4,2
JC9,4
T996,5
34-1/E,3
3A8,2
JB12,4
XG10,4
WE2,4
TM90-C2B,5
IMT10500,5
Dd2048,2
AZ10011022,3
C2B,2
3A12,2
3A3,2
3C1,2
106/1'76T,3
FCR3-A,4
W2MEF,1
Voll,6
S20,1
F07-42,1
Tm90,2
8425,6
6218,8
K1AM,4
AK127,1
AK033 D-49,1
TM90C6B,3
F08B27,1
3A1,2
3C18,2
CS2,7
Itg2,2
CDA-1553,1
FcB2,2
TM93-C1088,4
IMTVo1,2
F09N72,1
F07-8,1
F07-35,1
F07-40,1
F09N44,1
AK158,1
Cam3.1,3
F07-58,1
Smith,3
IMT 16116,1
F09N64,1
SM,1
AK182,1
PoW,4
Fab9,2
F09A10,1
Feng,1
R1H6/2,3
XF12,4
FCB2,2
IMT 9996,1
LC12,4
MB,1
JH6,4
JON,4
KH7,4
JF11,4
JC3,4
AK183,1
AK022 D-28,1
K1Hf,4
XE7,4
F07-28,1
WF12,3
KC5,4
F07-31,1
PC49,1
XD8,4
AK062,1
F09N40,1
F08B41,1
IMT 6311,1
C2,3
F08B72,1
AL2,4
F07-59,1
8885,1
F09N66,1
IMTL1,5
9067,1
AK033 D-0,1
F09N33,1
MRA1240,3
AK249,1
DEV,4
TF1,4
AK121,1
AK152 D-56,1
AK022D-0,1
9070,1
8977,1
F09N68,1
NIC,4
NF10,4
JF6,2
LA10,4
XB3,4
3C10,2
F07-10,1
AUD,4
JB8,4
KC2,4
KB8,3
FCR 3TC,2
WC4,4
F08B9,1
K1mef,1
RKL2,1
D3,2
AK222,1
8948,1
KC98,1
TM3036,3
poW,1
F07-56,1
F07-6,1
F09N35,1
F07-9,1
F07-46,1
F08B53,1
F07-13,1
F08B2,1
F08B61,1
F09N29,1
F09N78,1
F07-34,1
F08B7,1
F07-25,1
AK150 D-42,1
F08B60,1
F07-50,1
Dd2 ,1
AK227,1
AK167,1
AK018,1
8966,1
Bres1,2
F09A55,1
AK144,1
AK150 D-0,1
PaloAlto,2
